name,label,kd_molar_com_12,kd_mM
100ASO_truncated_unmodified,Truncated,0.2430363254984644,243.0363254984644
100ASO_unmodified_AAtoCC,Unmodified Aa→Cc,0.3215563136544483,321.55631365444833
100ASO_unmodified_loop_GG_to_AA,Unmodified Loop Gg→Aa,0.3552694622275016,355.2694622275016
100ASO_mismatch_G6A_unmodified,Mismatch G6A,0.534605955426195,534.605955426195
100ASO_all_purine_unmodified,All purine,0.5589227242834747,558.9227242834746
100ASO_scrambled_unmodified,Scrambled,0.7405199554096454,740.5199554096455
100ASO_mismatch_U5C_unmodified,Mismatch U5C,0.94838006166082,948.38006166082
100ASO_extended_12mer_unmodified,Extended 12mer,1.1520587605505177,1152.0587605505177
100ASO_extended_14mer_unmodified,Extended 14mer,2.4941672980338354,2494.1672980338353
