target,n_aso,tag,n_steps,T_mean,T_std,PE_mean,Rg_mean,E_drift
7LYJ,5,7LYJ_aso_n5,105000000,299.94815375,7.274789620335152,-0.5462846952749999,343.23196750000005,0.10170952380952385
7LYJ,10,7LYJ_aso_n10,105000000,300.04255624999996,6.101351070906264,21.686481396249995,490.91147500000005,-0.16211428571428563
7LYJ,20,7LYJ_aso_n20,105000000,299.77636624999997,4.8643219972290925,75.43110075,514.0833637500001,0.1063047619047617
7LYJ,50,7LYJ_aso_n50,105000000,299.86099125,3.3323451105930695,224.40954,584.0328987500001,0.08193333333333287
7LYJ,100,7LYJ_aso_n100,105000000,299.95566375,2.3644455675143186,471.17919500000005,611.69838125,-0.20828571428571543
7LYJ,200,7LYJ_aso_n200,105000000,299.9915625,1.7239876639423881,969.5579825000001,700.43463625,-0.33466666666666545
7LYJ,300,7LYJ_aso_n300,105000000,300.07122499999997,1.3848884311862601,1464.3960875000002,748.0101475,0.2921904761904703
7LYJ,400,7LYJ_aso_n400,105000000,299.994745,1.180594470639742,1960.224475,781.2260150000001,0.23552380952381402
7LYJ,500,7LYJ_aso_n500,105000000,299.952235,1.07775657331057,2455.9971875,794.4893450000001,0.6731428571428599
7LYJ,1,7LYJ_aso_bind,105000000,299.53203125,9.218014287362871,-22.817608411749998,189.17828625,-0.05417047619047625
1ANR,50,1ANR_aso_n50,105000000,299.93685375,3.2255184015223266,86.593332125,542.351145,-0.5970285714285714
1E95,50,1E95_aso_n50,105000000,300.12209875,3.299841359102358,-20.48352322365,521.883045,-0.985504761904762
1P5O,50,1P5O_aso_n50,105000000,300.02561875,3.2791302428899827,192.00894374999996,546.4015224999999,-0.10936190476190535
1RNK,50,1RNK_aso_n50,105000000,300.15963875,3.4657401152468825,-106.4739292875,498.11972499999996,-2.418371428571429
1XJR,50,1XJR_aso_n50,105000000,300.0086075,3.2844648201628464,191.36888625,593.99680625,0.06026666666666643
